Date,Tweet,Username,Url
2022-11-28 21:26:26+00:00,@ChelseaIndia @EmiratesFACup @ChelseaFC @ThreeUK Congratulations City,barve_ajinkya,https://twitter.com/barve_ajinkya/status/1597341168047902721
2022-11-28 21:20:04+00:00,@ThreeUK Interesting,Dsb66David,https://twitter.com/Dsb66David/status/1597339565689556993
2022-11-28 20:07:05+00:00,@ChelseaFCW @ThreeUK #PotterOut,AGUNDALEONARD,https://twitter.com/AGUNDALEONARD/status/1597321199121358848
2022-11-28 20:06:59+00:00,@ChelseaFCW @ThreeUK #PotterOut,AGUNDALEONARD,https://twitter.com/AGUNDALEONARD/status/1597321176769957888
2022-11-28 19:48:31+00:00,@ThreeUK very disappointing from you,SozzledRaisin,https://twitter.com/SozzledRaisin/status/1597316525832429568
2022-11-28 19:35:27+00:00,@ThreeUK ice switched over to you and have entered my PAC code when I joined last week but won’t swap numbers so I can’t use my new sim!,matlondonbright,https://twitter.com/matlondonbright/status/1597313238341152768
2022-11-28 19:24:51+00:00,@ThreeUK Hi - are 3 doing a pre-sale for the Eubank Jr v Liam Smith fight?,Charley1769,https://twitter.com/Charley1769/status/1597310571321643008
2022-11-28 18:34:41+00:00,"@ThreeUK hey three, currently in the US of A. You kindly charge me for daily usage abroad but fail to actually make it usable. Your support got me to reset every network setting “which will fix your issue”. Nothing fixed 6 support staff later.",BigWeaponX,https://twitter.com/BigWeaponX/status/1597297947095359488
2022-11-28 17:33:03+00:00,@ThreeUK Explain why I have 4G shown yet no service please? This happens all the time with 3 now it’s becoming a joke. 😡 https://t.co/aSddyv2Ad3,andybagguley,https://twitter.com/andybagguley/status/1597282435615510528
2022-11-28 17:30:40+00:00,"Retail Customer Advisor, 30hrs/wk @ThreeUK #Poole

Info/Apply  https://t.co/TRM5xpYEb7

#DorsetJobs #RetailJobs https://t.co/tAjUfYzyJi",JCPinDorset,https://twitter.com/JCPinDorset/status/1597281834873806848
2022-11-28 17:28:51+00:00,@scottwilks @ThreeUK Network working ok in Glasgow?,spinningthedisc,https://twitter.com/spinningthedisc/status/1597281379955384320
2022-11-28 17:26:39+00:00,@ThreeUK my wife is eligible for a free upgrade we are trying upgrade her phone but we can’t get past the part where you have to enter your email address as we don’t know her email address for that account?,johnait72020789,https://twitter.com/johnait72020789/status/1597280825749692417
2022-11-28 17:26:35+00:00,"In Glasgow, using your @ThreeUK signal to listen to the football on the radio https://t.co/HUvS2gb97d",scottwilks,https://twitter.com/scottwilks/status/1597280810721488896
2022-11-28 16:58:04+00:00,🏴‍☠️ Today's Daily Mail advertisers include @SkyUK @ThreeUK @Morrisons @JohnLewisRetail @Specsavers @AldiUK @ParamountUK @TheAA_UK @Hurtigruten @ROLCruiseLtd @PrincessCruises #Music2You #Gtech #EliteMobility &amp; @ImagineCruising https://t.co/UpOWhJ664L,torysleazeUK,https://twitter.com/torysleazeUK/status/1597273630718955520
2022-11-28 16:45:12+00:00,"@ThreeUK please can someone help, having problems with my account.",Chiefdragonon,https://twitter.com/Chiefdragonon/status/1597270396029796352
2022-11-28 16:40:06+00:00,@ChelseaFCW @ThreeUK Last time not lost time,MORGAN_JAMES_3,https://twitter.com/MORGAN_JAMES_3/status/1597269111679365121
2022-11-28 16:34:28+00:00,Today's Daily Mail advertisers include @SkyUK @ThreeUK @Morrisons @JohnLewisRetail @Specsavers @AldiUK @ParamountUK @TheAA_UK @Hurtigruten @ROLCruiseLtd @PrincessCruises #Music2You #Gtech #EliteMobility &amp; @ImagineCruising,StopFundingHate,https://twitter.com/StopFundingHate/status/1597267693031555072
2022-11-28 16:33:55+00:00,@ThreeUK tell me 5G Home Broadband is available but https://t.co/dPVj7XgUwG says not... https://t.co/H08dwoO8zG,TrustedLeader,https://twitter.com/TrustedLeader/status/1597267556431147008
2022-11-28 16:31:29+00:00,@ThreeUK What a bloody joke - trying to sell Home 5G Broadband and give you a load of guff about speeds depending on location - BUT NO-ONE (TECHNICAL INCLUDED) CAN OR WILL TELL YOU WHERE THE 5G TOWER IS,TrustedLeader,https://twitter.com/TrustedLeader/status/1597266940296396800
2022-11-28 16:22:35+00:00,"Making up for lost time. 👊

@ThreeUK | #WeSeeYou",ChelseaFCW,https://twitter.com/ChelseaFCW/status/1597264704392552452
2022-11-28 16:17:33+00:00,"@cineworld @ThreeUK @picturehouses Thanks, I can see them now. I'm in the habit of booking in my 3+ tickets on a Monday morning, and today was the first day in about a year when they didn't seem available when I logged in, so was just checking they hadn't come to an end! 🍿",wtbd,https://twitter.com/wtbd/status/1597263434223321089
2022-11-28 16:13:06+00:00,"Finally back in the 21st century! @ee and @ThreeUK been down since Wednesday night, no 4g or wifi 🙉 What have i missed??",rhyslew90,https://twitter.com/rhyslew90/status/1597262316189671424
2022-11-28 15:59:12+00:00,"@wtbd @ThreeUK @picturehouses Hi there, are you unable to see the offer in the Three+ app?",cineworld,https://twitter.com/cineworld/status/1597258816403415042
2022-11-28 15:50:46+00:00,@ThreeUK Ive just had to put the phone down after 10 minuts listening to terms and conditions because I needed to do a school pickup - this was after 20 mins to start with !  And apparently I need to wait for anothr phone call with more questions 🙈,FieldPat,https://twitter.com/FieldPat/status/1597256696304664577
2022-11-28 15:40:02+00:00,@ThreeUK And don’t say 0800 033 8006,EatsAndLifts,https://twitter.com/EatsAndLifts/status/1597253995634229248
2022-11-28 15:39:15+00:00,@ThreeUK please can I have a number where I get to talk to someone instead of being trapped in a loop of number selections?,EatsAndLifts,https://twitter.com/EatsAndLifts/status/1597253797138792449
2022-11-28 15:28:11+00:00,Things were looking good to change networks from @VodafoneUK to @O2 till I test drove the @O2 in Glasgow City Centre - that was painful - slow slow data.  Tomorrow I shall test drive the @ThreeUK SIM card.  As @ThreeUK still better offer than @vodafoneuk,spinningthedisc,https://twitter.com/spinningthedisc/status/1597251010656976914
2022-11-28 15:14:53+00:00,@ThreeUK don't bother. worst coverage in uk.,flapsandwich,https://twitter.com/flapsandwich/status/1597247664030388230
2022-11-28 14:48:50+00:00,"@ThreeUK 
My iPhone has been stolen, what do I do now?",pat27113,https://twitter.com/pat27113/status/1597241111193739265
2022-11-28 14:48:23+00:00,Be careful when ordering a new phone from @ThreeUK that comes with an extra tablet / headphones etc. Mine should have arrived and they've said there was no such deal. Waiting for the complaints team to respond. 2nd time this has happened with Three! @Ofcom,K1N3RGY,https://twitter.com/K1N3RGY/status/1597240997347438592
2022-11-28 14:27:18+00:00,"@ThreeUK Afternoon, Is there any way to track a order placed online yesterday? Cheers",19craig19,https://twitter.com/19craig19/status/1597235689044967428
2022-11-28 13:58:15+00:00,"That's it I don't care how much it costs me, I'm going MY @EE Contracts up and will go with the first provider who can provide device and service straight away. 
@O2 @ThreeUK @VodafoneUK @SkyHelpTeam 
@tescomobile https://t.co/qbdXYRW6Ez",ItsJamesPowers,https://twitter.com/ItsJamesPowers/status/1597228380617076738
2022-11-28 13:46:40+00:00,She’s gone again. Not that she tells me when she disappears. Currently @ThreeUK or @VodafoneUK are offering me a better deal than @ee.,lizcoombes,https://twitter.com/lizcoombes/status/1597225464195846146
2022-11-28 13:31:47+00:00,@ThreeUK spent an hour and a half on with your live chat because you've overcharged me AGAIN. Absolutely fucking ridiculous. You are a disgrace.,rua04cmd,https://twitter.com/rua04cmd/status/1597221720846651394
2022-11-28 13:20:59+00:00,@ThreeUK  your store in Plymouth had three service advisers who explained to my mother that her contract was over in Feb 2023 and fraudulently sold her a new contract while fully knowing it was not over until 2024. They are refusing to help.,yerman4,https://twitter.com/yerman4/status/1597219003365486593
2022-11-28 13:13:24+00:00,@ThreeUK @cineworld @picturehouses have we reached the end of the 3+ £3 cinema vouchers?,wtbd,https://twitter.com/wtbd/status/1597217093224910849
2022-11-28 12:59:54+00:00,"How angry am i with @ThreeUK, they decided up my contract from 1/12 then inform me that to cancel it will Incur a 28days Cancellation period even though we are not in December, PS my old contracted ended mths ago. @MartinSLewis",justin_nash,https://twitter.com/justin_nash/status/1597213696274870272
2022-11-28 12:53:40+00:00,"Can @ThreeUK sort out their 4G data network in Welshpool, Powys. I know so many people including me that can’t use it.",justin_bernard,https://twitter.com/justin_bernard/status/1597212128078725120
2022-11-28 11:49:53+00:00,@ThreeUK  any maintenance is currently being carried out around WA3 area? Signal almost doesn’t exist,slsprk,https://twitter.com/slsprk/status/1597196074795429890
2022-11-28 10:57:12+00:00,"Remembering those who came before and paving the way for the next generation. 💙
 
Celebrating women in football with @ThreeUK! 🤝 https://t.co/hTbeuqh5SR",jaja_charles,https://twitter.com/jaja_charles/status/1597182818815479810
2022-11-28 10:54:40+00:00,@ThreeUK think it’s acceptable for a customer of 4 years to be treated like rubbish. Sent me contracts and confirmation of my early upgrade and then on the day of delivery an ‘error’ occurred and now the device is out of stock. Don’t join Three they are terrible and lie to you.,Colb3ck,https://twitter.com/Colb3ck/status/1597182177589854208
2022-11-28 10:47:20+00:00,@ChelseaFCW @ChelseaFC @ThreeUK My super Sam Kerr ❤️💪,IsaiahAkan0214,https://twitter.com/IsaiahAkan0214/status/1597180334864740352
2022-11-28 10:46:58+00:00,@utd_kooo @ChelseaFCW @ChelseaFC @ThreeUK Has been for quite some time now..,BallackCFC,https://twitter.com/BallackCFC/status/1597180242044428290
